initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Cli,4,2,60,27.14
RD,30,Cli,4,3,60,24.29
RD,30,Cli,4,4,60,27.14
RD,30,Cli,5,0,60,60.0
RD,30,Cli,5,1,60,60.0
RD,30,Cli,5,2,60,60.0
RD,30,Cli,5,3,60,60.0
RD,30,Cli,5,4,60,60.0
RD,30,Cli,7,0,60,51.85
RD,30,Cli,7,1,60,55.56
RD,30,Cli,7,2,60,51.85
RD,30,Cli,7,3,60,59.26
RD,30,Cli,7,4,60,59.26
RD,30,Cli,8,0,60,39.42
RD,30,Cli,8,1,60,39.42
RD,30,Cli,8,2,60,40.38
RD,30,Cli,8,3,60,40.38
RD,30,Cli,8,4,60,39.42
RD,30,Cli,9,0,60,25.71
RD,30,Cli,9,1,60,25.71
RD,30,Cli,9,2,60,25.71
RD,30,Cli,9,3,60,25.71
RD,30,Cli,9,4,60,28.57
RD,30,Cli,10,0,60,32.86
RD,30,Cli,10,1,60,25.71
RD,30,Cli,10,2,60,25.71
RD,30,Cli,10,3,60,24.29
RD,30,Cli,10,4,60,28.57
RD,30,Cli,11,0,60,70.75
RD,30,Cli,11,1,60,63.21
RD,30,Cli,11,2,60,55.66
RD,30,Cli,11,3,60,58.49
RD,30,Cli,11,4,60,50.0
RD,30,Cli,12,0,60,30.0
RD,30,Cli,12,1,60,30.0
RD,30,Cli,12,2,60,30.0
RD,30,Cli,12,3,60,30.0
RD,30,Cli,12,4,60,30.0
RD,30,Cli,13,0,60,42.37
RD,30,Cli,13,1,60,52.54
RD,30,Cli,13,2,60,49.15
RD,30,Cli,13,3,60,56.78
RD,30,Cli,13,4,60,46.61
RD,30,Cli,14,0,60,24.22
RD,30,Cli,14,1,60,33.59
RD,30,Cli,14,2,60,0.78
RD,30,Cli,14,3,60,18.75
RD,30,Cli,14,4,60,15.62
RD,30,Cli,15,0,60,40.74
RD,30,Cli,15,1,60,1.85
RD,30,Cli,15,2,60,46.3
RD,30,Cli,15,3,60,24.07
RD,30,Cli,15,4,60,38.89
RD,30,Cli,16,0,60,5.86
RD,30,Cli,16,1,60,19.82
RD,30,Cli,16,2,60,23.42
RD,30,Cli,16,3,60,4.95
RD,30,Cli,16,4,60,38.74
