generation_time,project,bug_id,test_id,coverage
30,Cli,16,1,22.02
30,Cli,16,2,22.48
30,Cli,16,3,26.15
30,Cli,16,4,22.94
30,Cli,17,0,40.48
30,Cli,17,1,45.24
30,Cli,17,2,33.33
30,Cli,17,3,16.67
30,Cli,17,4,38.1
30,Cli,18,0,42.86
30,Cli,18,1,45.24
30,Cli,18,2,19.05
30,Cli,18,3,42.86
30,Cli,18,4,42.86
30,Cli,19,0,40.48
30,Cli,19,1,40.48
30,Cli,19,2,38.1
30,Cli,19,3,42.86
30,Cli,19,4,38.1
30,Cli,20,0,42.86
30,Cli,20,1,42.86
30,Cli,20,2,26.19
30,Cli,20,3,40.48
30,Cli,20,4,19.05
30,Cli,21,0,33.51
30,Cli,21,1,35.64
30,Cli,21,2,13.3
30,Cli,21,3,50.0
30,Cli,21,4,15.43
30,Cli,22,0,5.26
30,Cli,22,1,47.37
30,Cli,22,2,36.84
30,Cli,22,3,47.37
30,Cli,22,4,39.47
30,Cli,23,0,72.22
30,Cli,23,1,78.7
30,Cli,23,2,64.81
30,Cli,23,3,75.0
30,Cli,23,4,63.89
30,Cli,24,0,68.75
30,Cli,24,1,72.32
30,Cli,24,2,69.64
30,Cli,24,3,70.54
30,Cli,24,4,73.21
30,Cli,25,0,71.43
30,Cli,25,1,72.32
30,Cli,25,2,72.32
30,Cli,25,3,75.0
30,Cli,25,4,72.32
30,Cli,26,0,100.0
30,Cli,26,1,75.0
30,Cli,26,2,75.0
30,Cli,26,3,75.0
30,Cli,26,4,75.0
30,Cli,27,0,25.0
30,Cli,27,1,41.67
30,Cli,27,2,75.0
30,Cli,27,3,8.33
30,Cli,27,4,33.33
30,Cli,28,0,25.0
30,Cli,28,1,32.35
30,Cli,28,2,25.0
30,Cli,28,3,23.53
30,Cli,28,4,27.94
30,Cli,29,0,50.0
30,Cli,29,1,50.0
30,Cli,29,2,50.0
30,Cli,29,3,50.0
30,Cli,29,4,50.0
30,Cli,30,0,18.35
30,Cli,30,1,18.81
30,Cli,30,2,8.26
30,Cli,30,3,17.43
30,Cli,30,4,19.72
30,Cli,31,0,60.1
30,Cli,31,1,61.54
30,Cli,31,2,57.69
30,Cli,31,3,45.19
30,Cli,31,4,37.98
30,Cli,32,0,34.43
30,Cli,32,1,33.61
30,Cli,32,2,36.07
30,Cli,32,3,35.25
30,Cli,32,4,34.43
30,Cli,33,0,50.88
30,Cli,33,1,60.53
30,Cli,33,2,20.18
30,Cli,33,3,64.91
30,Cli,33,4,36.84
30,Cli,34,0,45.45
30,Cli,34,1,50.0
30,Cli,34,2,48.86
30,Cli,34,3,40.91
30,Cli,34,4,52.27
30,Cli,35,0,35.0
30,Cli,35,1,30.0
30,Cli,35,2,50.0
30,Cli,35,3,30.0
30,Cli,35,4,30.0
30,Cli,36,0,77.78
30,Cli,36,1,50.0
30,Cli,36,2,50.0
30,Cli,36,3,69.44
30,Cli,36,4,61.11
30,Cli,37,0,15.82
30,Cli,37,1,14.56
30,Cli,37,2,14.56
30,Cli,37,3,15.19
30,Cli,37,4,15.82
30,Cli,38,0,15.82
30,Cli,38,1,15.82
30,Cli,38,2,15.19
30,Cli,38,3,12.66
30,Cli,38,4,10.76
30,Cli,39,0,60.0
30,Cli,39,1,60.0
30,Cli,39,2,55.0
30,Cli,39,3,55.0
30,Cli,39,4,55.0
30,Cli,40,0,60.0
30,Cli,40,1,70.0
30,Cli,40,2,65.0
30,Cli,40,3,75.0
30,Cli,40,4,70.0
30,Closure,1,2,0.0
30,Closure,2,0,0.35
30,Closure,2,1,0.0
30,Closure,2,2,0.0
30,Closure,2,3,0.0
30,Closure,3,1,0.0
30,Closure,3,2,0.0
30,Closure,3,4,0.0
30,Closure,4,1,0.0
