initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,30,Cli,4,2,60,27.94
RD,30,Cli,4,3,60,26.47
RD,30,Cli,4,4,60,27.94
RD,30,Cli,5,0,60,50.0
RD,30,Cli,5,1,60,50.0
RD,30,Cli,5,2,60,50.0
RD,30,Cli,5,3,60,50.0
RD,30,Cli,5,4,60,50.0
RD,30,Cli,7,0,60,44.44
RD,30,Cli,7,1,60,59.26
RD,30,Cli,7,2,60,51.85
RD,30,Cli,7,3,60,74.07
RD,30,Cli,7,4,60,55.56
RD,30,Cli,8,0,60,0.0
RD,30,Cli,8,1,60,30.77
RD,30,Cli,8,2,60,33.65
RD,30,Cli,8,3,60,37.5
RD,30,Cli,8,4,60,29.81
RD,30,Cli,9,0,60,27.14
RD,30,Cli,9,1,60,32.86
RD,30,Cli,9,2,60,28.57
RD,30,Cli,9,3,60,28.57
RD,30,Cli,9,4,60,28.57
RD,30,Cli,10,0,60,32.86
RD,30,Cli,10,1,60,27.14
RD,30,Cli,10,2,60,25.71
RD,30,Cli,10,3,60,25.71
RD,30,Cli,10,4,60,28.57
RD,30,Cli,11,0,60,70.75
RD,30,Cli,11,1,60,59.43
RD,30,Cli,11,2,60,50.94
RD,30,Cli,11,3,60,61.32
RD,30,Cli,11,4,60,50.94
RD,30,Cli,12,0,60,37.5
RD,30,Cli,12,1,60,37.5
RD,30,Cli,12,2,60,37.5
RD,30,Cli,12,3,60,37.5
RD,30,Cli,12,4,60,37.5
RD,30,Cli,13,0,60,37.93
RD,30,Cli,13,1,60,37.07
RD,30,Cli,13,2,60,43.97
RD,30,Cli,13,3,60,38.79
RD,30,Cli,13,4,60,49.14
RD,30,Cli,14,0,60,39.84
RD,30,Cli,14,1,60,34.38
RD,30,Cli,14,2,60,0.78
RD,30,Cli,14,3,60,35.16
RD,30,Cli,14,4,60,16.41
RD,30,Cli,15,0,60,26.09
RD,30,Cli,15,1,60,26.09
RD,30,Cli,15,2,60,52.17
RD,30,Cli,15,3,60,0.0
RD,30,Cli,15,4,60,45.65
RD,30,Cli,16,0,60,11.47
RD,30,Cli,16,1,60,10.55
RD,30,Cli,16,2,60,22.94
RD,30,Cli,16,3,60,36.24
RD,30,Cli,16,4,60,12.84
RD,30,Cli,17,0,60,40.48
RD,30,Cli,17,1,60,45.24
RD,30,Cli,17,2,60,40.48
RD,30,Cli,17,3,60,16.67
RD,30,Cli,17,4,60,38.1
RD,30,Cli,18,0,60,45.24
RD,30,Cli,18,1,60,40.48
RD,30,Cli,18,2,60,21.43
RD,30,Cli,18,3,60,42.86
RD,30,Cli,18,4,60,45.24
RD,30,Cli,19,0,60,42.86
RD,30,Cli,19,1,60,40.48
RD,30,Cli,19,2,60,45.24
RD,30,Cli,19,3,60,45.24
RD,30,Cli,19,4,60,40.48
RD,30,Cli,20,0,60,45.24
RD,30,Cli,20,1,60,38.1
RD,30,Cli,20,2,60,40.48
RD,30,Cli,20,3,60,40.48
RD,30,Cli,20,4,60,33.33
RD,30,Cli,21,0,60,29.79
RD,30,Cli,21,1,60,38.3
RD,30,Cli,21,2,60,12.23
RD,30,Cli,21,3,60,36.17
RD,30,Cli,21,4,60,14.89
RD,30,Cli,22,0,60,2.63
RD,30,Cli,22,1,60,34.21
RD,30,Cli,22,2,60,55.26
RD,30,Cli,22,3,60,47.37
RD,30,Cli,22,4,60,42.11
RD,30,Cli,23,0,60,62.96
RD,30,Cli,23,1,60,76.85
RD,30,Cli,23,2,60,68.52
RD,30,Cli,23,3,60,68.52
RD,30,Cli,23,4,60,72.22
RD,30,Cli,24,0,60,60.71
RD,30,Cli,24,1,60,71.43
RD,30,Cli,24,2,60,70.54
RD,30,Cli,24,3,60,47.32
RD,30,Cli,24,4,60,64.29
RD,30,Cli,25,0,60,66.96
RD,30,Cli,25,1,60,68.75
RD,30,Cli,25,2,60,71.43
RD,30,Cli,25,3,60,62.5
RD,30,Cli,25,4,60,69.64
RD,30,Cli,26,0,60,25.0
RD,30,Cli,26,1,60,75.0
RD,30,Cli,26,2,60,25.0
RD,30,Cli,26,3,60,75.0
RD,30,Cli,26,4,60,75.0
RD,30,Cli,27,0,60,25.0
RD,30,Cli,27,1,60,50.0
RD,30,Cli,27,2,60,75.0
RD,30,Cli,27,3,60,8.33
RD,30,Cli,27,4,60,33.33
RD,30,Cli,28,0,60,30.88
RD,30,Cli,28,1,60,32.35
RD,30,Cli,28,2,60,32.35
RD,30,Cli,28,3,60,32.35
RD,30,Cli,28,4,60,27.94
RD,30,Cli,29,0,60,60.0
RD,30,Cli,29,1,60,60.0
RD,30,Cli,29,2,60,60.0
RD,30,Cli,29,3,60,60.0
RD,30,Cli,29,4,60,60.0
RD,30,Cli,30,0,60,18.35
RD,30,Cli,30,1,60,19.72
RD,30,Cli,30,2,60,8.26
RD,30,Cli,30,3,60,17.43
RD,30,Cli,30,4,60,22.48
RD,30,Cli,31,0,60,55.29
RD,30,Cli,31,1,60,64.9
RD,30,Cli,31,2,60,58.17
RD,30,Cli,31,3,60,56.73
RD,30,Cli,31,4,60,44.71
RD,30,Cli,32,0,60,36.89
RD,30,Cli,32,1,60,36.89
RD,30,Cli,32,2,60,38.52
RD,30,Cli,32,3,60,36.89
RD,30,Cli,32,4,60,36.89
RD,30,Cli,33,0,60,58.77
RD,30,Cli,33,1,60,50.0
RD,30,Cli,33,2,60,42.11
RD,30,Cli,33,3,60,71.05
RD,30,Cli,33,4,60,43.86
RD,30,Cli,34,0,60,50.0
RD,30,Cli,34,1,60,45.45
RD,30,Cli,34,2,60,48.86
RD,30,Cli,34,3,60,40.91
RD,30,Cli,34,4,60,50.0
RD,30,Cli,35,0,60,40.0
RD,30,Cli,35,1,60,35.0
RD,30,Cli,35,2,60,55.0
RD,30,Cli,35,3,60,35.0
RD,30,Cli,35,4,60,35.0
RD,30,Cli,36,0,60,61.11
RD,30,Cli,36,1,60,41.67
RD,30,Cli,36,2,60,44.44
RD,30,Cli,36,3,60,63.89
RD,30,Cli,36,4,60,63.89
RD,30,Cli,37,0,60,13.29
RD,30,Cli,37,1,60,16.46
RD,30,Cli,37,2,60,15.82
RD,30,Cli,37,3,60,16.46
RD,30,Cli,37,4,60,16.46
RD,30,Cli,38,0,60,7.59
RD,30,Cli,38,1,60,15.82
RD,30,Cli,38,2,60,15.19
RD,30,Cli,38,3,60,15.82
RD,30,Cli,38,4,60,12.03
RD,30,Cli,39,0,60,60.0
RD,30,Cli,39,1,60,60.0
RD,30,Cli,39,2,60,60.0
RD,30,Cli,39,3,60,60.0
RD,30,Cli,39,4,60,60.0
RD,30,Cli,40,0,60,60.0
RD,30,Cli,40,1,60,70.0
RD,30,Cli,40,2,60,65.0
RD,30,Cli,40,3,60,70.0
RD,30,Cli,40,4,60,70.0
RD,30,Closure,1,2,60,0.0
RD,30,Closure,2,0,60,0.35
RD,30,Closure,2,1,60,0.0
RD,30,Closure,2,2,60,0.0
RD,30,Closure,2,3,60,0.0
RD,30,Closure,3,1,60,0.0
RD,30,Closure,3,2,60,0.0
RD,30,Closure,3,4,60,0.0
RD,30,Closure,4,1,60,0.0
RD,30,Closure,4,2,60,0.0
RD,30,Closure,4,3,60,2.33
RD,30,Closure,5,0,60,0.0
RD,30,Closure,6,0,60,0.0
RD,30,Closure,6,1,60,0.0
RD,30,Closure,6,3,60,0.0
RD,30,Closure,6,4,60,0.0
RD,30,Closure,7,0,60,3.16
RD,30,Closure,7,1,60,2.11
RD,30,Closure,7,2,60,0.0
RD,30,Closure,8,0,60,1.92
RD,30,Closure,8,4,60,0.0
RD,30,Closure,9,0,60,11.9
RD,30,Closure,9,1,60,23.81
RD,30,Closure,9,2,60,9.52
RD,30,Closure,9,3,60,2.38
RD,30,Closure,9,4,60,2.38
RD,30,Closure,10,0,60,6.71
RD,30,Closure,10,1,60,4.77
RD,30,Closure,10,2,60,15.66
RD,30,Closure,10,4,60,10.31
RD,30,Closure,11,0,60,0.0
RD,30,Closure,11,2,60,0.0
RD,30,Closure,11,4,60,0.0
RD,30,Closure,12,0,60,0.0
RD,30,Closure,12,3,60,0.0
RD,30,Closure,12,4,60,0.0
RD,30,Closure,14,0,60,1.45
RD,30,Closure,14,1,60,3.99
RD,30,Closure,14,2,60,3.62
RD,30,Closure,14,3,60,0.36
RD,30,Closure,14,4,60,0.0
RD,30,Closure,15,0,60,0.0
RD,30,Closure,15,1,60,0.0
RD,30,Closure,15,3,60,0.0
RD,30,Closure,16,0,60,0.0
RD,30,Closure,17,1,60,0.15
RD,30,Closure,17,3,60,0.0
RD,30,Closure,17,4,60,0.0
RD,30,Closure,18,0,60,17.31
RD,30,Closure,18,1,60,11.78
RD,30,Closure,18,2,60,18.51
RD,30,Closure,18,3,60,11.3
RD,30,Closure,18,4,60,0.0
RD,30,Closure,19,0,60,19.15
RD,30,Closure,19,1,60,1.06
RD,30,Closure,19,3,60,0.0
RD,30,Closure,19,4,60,3.19
RD,30,Closure,20,0,60,1.14
RD,30,Closure,20,1,60,0.0
RD,30,Closure,20,3,60,0.0
RD,30,Closure,21,0,60,0.0
RD,30,Closure,22,0,60,30.56
RD,30,Closure,22,1,60,0.0
RD,30,Closure,22,2,60,4.17
RD,30,Closure,23,2,60,0.0
RD,30,Closure,24,1,60,12.5
RD,30,Closure,24,3,60,12.5
RD,30,Closure,25,1,60,0.25
RD,30,Closure,25,3,60,0.25
RD,30,Closure,25,4,60,0.5
RD,30,Closure,26,0,60,5.0
RD,30,Closure,26,1,60,2.5
RD,30,Closure,26,2,60,5.0
RD,30,Closure,26,3,60,10.0
RD,30,Closure,26,4,60,5.0
RD,30,Closure,27,0,60,18.33
RD,30,Closure,27,1,60,33.33
RD,30,Closure,27,2,60,41.67
RD,30,Closure,27,3,60,56.67
RD,30,Closure,27,4,60,40.0
RD,30,Closure,28,1,60,50.0
RD,30,Closure,28,2,60,50.0
RD,30,Closure,28,3,60,50.0
RD,30,Closure,28,4,60,50.0
RD,30,Closure,29,0,60,0.0
RD,30,Closure,29,4,60,0.0
RD,30,Closure,30,0,60,0.45
RD,30,Closure,30,1,60,0.0
RD,30,Closure,30,3,60,0.0
RD,30,Closure,30,4,60,0.0
RD,30,Closure,31,0,60,8.75
RD,30,Closure,31,1,60,9.5
RD,30,Closure,31,2,60,0.0
RD,30,Closure,31,3,60,18.75
RD,30,Closure,31,4,60,9.5
RD,30,Closure,32,0,60,5.4
RD,30,Closure,32,1,60,0.16
RD,30,Closure,32,2,60,0.49
RD,30,Closure,32,4,60,3.93
RD,30,Closure,33,0,60,16.67
RD,30,Closure,33,1,60,29.44
RD,30,Closure,33,2,60,29.44
RD,30,Closure,33,3,60,1.11
RD,30,Closure,33,4,60,33.33
RD,30,Closure,34,0,60,13.74
RD,30,Closure,34,1,60,9.22
RD,30,Closure,34,2,60,10.26
RD,30,Closure,34,3,60,17.39
RD,30,Closure,34,4,60,8.87
RD,30,Closure,35,0,60,0.0
RD,30,Closure,35,1,60,0.24
RD,30,Closure,35,2,60,0.24
RD,30,Closure,35,3,60,0.0
RD,30,Closure,36,0,60,0.0
RD,30,Closure,36,3,60,0.0
RD,30,Closure,36,4,60,0.43
RD,30,Closure,37,0,60,2.08
RD,30,Closure,37,1,60,2.6
RD,30,Closure,37,2,60,3.12
RD,30,Closure,37,3,60,1.56
